Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Betweenness
23,,5,45,50,312303991.812,42318181509,42630485500.812,
32,,16,34,50,46833244106.009,64255578,46897499684.009,
169,,30,74,104,343042593.079,23966452555,24309495148.079,
121,,3,13,16,6119608.31,3170256879.34,3176376487.65,
5,,9,6,15,2892895599.021,1806213924.83,4699109523.851,
100,,3,1,4,3000304697.684,740152,3001044849.684,
145,,18,18,36,2149227307.68,3047809.165,2152275116.845,
155,,10,9,19,1781060216.463,224288,1781284504.463,
73,,9,4,13,1379050950.089,1097713.16,1380148663.249,
60,,34,38,72,1619551473.7,26667594.076,1646219067.776,
47,,7,5,12,1660317812.212,23476,1660341288.212,
160,,8,12,20,1675498102.621,35342129,1710840231.621,
80,,10,6,16,1636802285.673,78570.985,1636880856.658,
74,,3,0,3,1096127589,0,1096127589,
78,,27,31,58,1248766692.527,24586232.349,1273352924.876,
30,,15,57,72,119651370.011,2349331824.77,2468983194.781,
172,,13,0,13,1045043974.508,0,1045043974.508,
129,,11,0,11,603973326.528,0,603973326.528,
13,,3,0,3,895817358.45,0,895817358.45,
108,,24,35,59,976480256.899,233365476.598,1209845733.497,
168,,7,7,14,31073481.012,431393328,462466809.012,
3,,5,0,5,704714886.054,0,704714886.054,
143,,9,6,15,602808930.258,56162,602865092.258,
164,,7,40,47,2407556.808,1342444292.57,1344851849.378,
166,,18,20,38,406677256.889,1618807.388,408296064.277,
75,,5,0,5,326075319.023,0,326075319.023,
94,,14,6,20,352764217.802,7584227.887,360348445.689,
125,,13,7,20,317084577.811,4658329.359,321742907.17,
33,,3,0,3,212477859.256,0,212477859.256,
115,,9,3,12,201495331.83,80185.68,201575517.51,
159,,4,0,4,245609425,0,245609425,
118,,7,2,9,218561677.639,124482.837,218686160.476,
38,,13,13,26,4197040.834,119022687,123219727.834,
136,,13,24,37,112105451.295,6168537,118273988.295,
134,,7,1,8,140721602.592,1408,140723010.592,
77,,7,2,9,127293772.786,13000,127306772.786,
16,,17,51,68,140067210.881,46764552.469,186831763.35,
123,,7,0,7,76786207.286,0,76786207.286,
36,,4,0,4,108787877.223,0,108787877.223,
112,,2,22,24,28742075.995,117787191.208,146529267.203,
124,,17,18,35,68293528.837,73535284,141828812.837,
128,,15,25,40,66227069.598,117514339.1,183741408.698,
9,,18,36,54,78047272.131,100127036.436,178174308.567,
142,,12,16,28,44757191.032,70966660.333,115723851.365,
175,,3,2,5,61332146.967,51784.345,61383931.312,
72,,8,26,34,81499279.025,4385695.655,85884974.68,
63,,12,3,15,90633664.8,1259237.097,91892901.897,
87,,3,0,3,85938049.94,0,85938049.94,
18,,0,9,9,0,81106459.92,81106459.92,
122,,6,2,8,83284796.089,8611.1,83293407.189,
107,,5,0,5,44511215.045,0,44511215.045,
139,,13,11,24,32942845.086,75203604.94,108146450.026,
70,,18,15,33,89855897.914,76301899,166157796.914,
31,,9,11,20,36003200.316,6467385.38,42470585.696,
56,,30,37,67,49228766.43,58406321.177,107635087.607,
171,,2,0,2,47866796,0,47866796,
17,,0,11,11,0,69546219.738,69546219.738,
76,,10,4,14,24434054.074,929205.225,25363259.299,
45,,2,0,2,19023878.051,0,19023878.051,
106,,4,0,4,18266801.679,0,18266801.679,
165,,12,0,12,38769058.992,0,38769058.992,
119,,2,0,2,16555076.388,0,16555076.388,
42,,13,10,23,15586781.633,24860216,40446997.633,
4,,6,1,7,18710501.054,145048.25,18855549.304,
97,,4,0,4,13246990.598,0,13246990.598,
127,,7,2,9,12013624.313,413127,12426751.313,
82,,1,5,6,7582,15818757.06,15826339.06,
170,,1,1,2,10971948.06,87700,11059648.06,
103,,6,0,6,11430274.843,0,11430274.843,
138,,11,10,21,14431290.311,803847.632,15235137.943,
44,,15,16,31,15028970.5,4433536.75,19462507.25,
157,,2,11,13,3141783.746,23204488.283,26346272.029,
29,,3,3,6,7361135.477,7327453.97,14688589.447,
14,,1,0,1,6410480,0,6410480,
15,,3,0,3,6162985.527,0,6162985.527,
93,,3,7,10,1292644.394,7386235.349,8678879.743,
174,,4,11,15,673531.777,10658747.239,11332279.016,
19,,2,6,8,5006793,2575836.707,7582629.707,
163,,3,5,8,5164874.296,6348466.38,11513340.676,
83,,4,1,5,4683903.621,8915.521,4692819.142,
140,,10,6,16,3951990.14,6785905.383,10737895.523,
158,,2,1,3,4002113.448,1082.943,4003196.391,
154,,1,0,1,3875125,0,3875125,
51,,1,0,1,3673247.587,0,3673247.587,
151,,11,6,17,6744346.534,516955.661,7261302.195,
27,,1,4,5,204713.292,3755826.429,3960539.721,
111,,0,2,2,0,3001309,3001309,
69,,2,1,3,3334443,3447.2,3337890.2,
39,,1,0,1,2853680,0,2853680,
152,,16,4,20,9552283.707,173318.857,9725602.564,
25,,11,3,14,3546208.861,15132.963,3561341.824,
10,,4,1,5,2328582.709,1890000,4218582.709,
130,,4,0,4,2553578.298,0,2553578.298,
161,,4,0,4,3256227.21,0,3256227.21,
65,,1,0,1,1825132,0,1825132,
81,,5,0,5,3188131.829,0,3188131.829,
167,,3,8,11,1280096.657,4038974.381,5319071.038,
104,,3,5,8,666806.533,3885498.5,4552305.033,
59,,6,0,6,3085303.853,0,3085303.853,
41,,8,0,8,3629720.582,0,3629720.582,
8,,5,6,11,887637.166,1586061.469,2473698.635,
156,,1,0,1,1077655.16,0,1077655.16,
20,,3,0,3,1161451.062,0,1161451.062,
90,,13,5,18,1165594.195,1589458,2755052.195,
110,,5,6,11,1566166.665,50819.812,1616986.477,
105,,3,1,4,1412800.758,18000,1430800.758,
37,,3,6,9,30415.111,1161260.64,1191675.751,
55,,13,1,14,2093877.95,13930.45,2107808.4,
147,,3,8,11,917820.818,85934.068,1003754.886,
1,,2,0,2,733700,0,733700,
61,,2,0,2,595722.705,0,595722.705,
7,,2,0,2,562243,0,562243,
85,,2,0,2,586928.08,0,586928.08,
24,,4,0,4,529704.82,0,529704.82,
102,,3,0,3,429354.223,0,429354.223,
79,,2,0,2,500994.934,0,500994.934,
50,,8,3,11,301176.511,567229.09,868405.601,
86,,6,2,8,569290.907,65113.904,634404.811,
135,,4,1,5,496826.076,29815.89,526641.966,
99,,6,1,7,252709.587,2530.036,255239.623,
34,,3,0,3,255463.565,0,255463.565,
22,,1,0,1,177819,0,177819,
2,,5,0,5,203573.835,0,203573.835,
58,,1,0,1,142821.888,0,142821.888,
66,,3,2,5,235388.4,81097,316485.4,
71,,4,0,4,184632.808,0,184632.808,
21,,1,0,1,112542,0,112542,
91,,5,3,8,212723.145,10987.222,223710.367,
68,,1,0,1,88679,0,88679,
126,,4,0,4,158971.331,0,158971.331,
46,,1,1,2,76010,31384.96,107394.96,
146,,1,0,1,68790.225,0,68790.225,
153,,2,0,2,68969,0,68969,
92,,1,0,1,67071.868,0,67071.868,
43,,3,0,3,112347.88,0,112347.88,
117,,0,5,5,0,101057.357,101057.357,
150,,2,0,2,59801.699,0,59801.699,
26,,2,0,2,56817.424,0,56817.424,
84,,4,0,4,123731.036,0,123731.036,
48,,2,0,2,39323,0,39323,
137,,2,0,2,65016.1,0,65016.1,
11,,1,0,1,33423,0,33423,
109,,3,0,3,36789.171,0,36789.171,
133,,1,0,1,32110,0,32110,
101,,1,0,1,30716,0,30716,
88,,1,0,1,28670.887,0,28670.887,
95,,3,0,3,26685.971,0,26685.971,
54,,3,0,3,26840.606,0,26840.606,
131,,1,0,1,19950,0,19950,
116,,3,0,3,26811.38,0,26811.38,
49,,1,0,1,15687.737,0,15687.737,
40,,1,0,1,14740,0,14740,
120,,3,0,3,25373.292,0,25373.292,
162,,1,0,1,14182.76,0,14182.76,
132,,1,0,1,13863,0,13863,
53,,1,0,1,13481.217,0,13481.217,
113,,1,0,1,12520,0,12520,
114,,2,1,3,13292.068,9622.28,22914.348,
148,,1,0,1,11169.16,0,11169.16,
12,,3,0,3,14257.66,0,14257.66,
52,,1,0,1,9000,0,9000,
28,,1,0,1,8837.778,0,8837.778,
57,,1,0,1,6716.171,0,6716.171,
64,,1,0,1,6443.849,0,6443.849,
144,,1,0,1,6354.16,0,6354.16,
96,,2,0,2,9566.711,0,9566.711,
62,,1,0,1,3142.85,0,3142.85,
67,,1,0,1,2396.205,0,2396.205,
141,,1,0,1,1888.267,0,1888.267,
