"国家","出度","入度","加权出度","加权入度","介数中心性","接近中心性","特征向量中心性"
"23",2,2,733700,733700,0.0114942528735632,0.556549799157476,9.7648265714052e-13
"169",5,5,203573.835,203573.835,0.0780679024649525,0.997818995621958,7.86944980565443e-09
"121",5,5,704714886.096,704714886.096,0,0.997024402612733,0.0105861234430423
"5",7,7,18855549.304,18855549.304,0,0.851405500987874,3.06944830449353e-05
"30",12,12,4691049492.541,4691049492.541,0,0.992560255366536,0.0536538198194356
"168",1,1,1427.595,1427.595,0,0.997282802053947,2.57791559429186e-12
"164",2,2,562243,562243,0,0.977769402554197,1.50025748569652e-05
"108",10,10,2471969.635,2471969.635,0.0114942528735632,0.994568604476915,2.47466897630502e-05
"38",37,37,152346034.072,152346034.072,0.0706929772108166,0.996453685124099,3.22265144518865e-05
"112",5,5,4218582.709,4218582.709,0.0156800212610458,0.984575233225467,1.18743788384182e-07
"9",1,1,33423,33423,0,0.957626596183667,3.72457760210734e-07
"142",3,3,14257.66,14257.66,0.0129559497707793,0.996901526059953,3.0856350103183e-11
"18",3,3,895817358.452,895817358.452,0,0.0112250612753861,0.0168164942517297
"32",1,1,6410480,6410480,0,0.112750998037291,7.1436825619355e-05
"139",3,3,6162985.527,6162985.527,0,0.898633742491962,1.10787505723646e-07
"160",57,57,153718765.277,153718765.277,0.359643877483224,0.999028049068713,6.18518530342757e-05
"56",11,11,69546219.728,69546219.728,0,0.987485495987999,0.000771946433042711
"17",9,9,81106459.92,81106459.92,0,0.964503415131996,3.30408667397815e-05
"70",6,6,7321734.974,7321734.974,0,0.954340149366618,1.07624132997925e-06
"124",3,3,1161451.062,1161451.062,0,0.990474335348995,1.99873125304421e-09
"128",1,1,112542,112542,0,0.876170860893119,1.25414059927704e-06
"16",1,1,177819,177819,0,0.818058507010767,4.82519274154657e-06
"42",47,47,42620088569.27,42620088569.27,0.0619227958275198,0.995800847393136,0.92944895214979
"60",4,4,529704.82,529704.82,0,0.984188653443748,2.42930074333425e-07
"82",14,14,3561341.824,3561341.824,0.0658428011427812,0.996958917938816,1.78291694479911e-07
"157",2,2,56817.424,56817.424,0,0.994224098190624,2.43941269776124e-08
"94",5,5,3960539.721,3960539.721,0,0.951674115491349,5.22876240330655e-10
"31",1,1,8837.778,8837.778,0,0.988373019084238,1.23020757091846e-09
"93",5,5,14627040.837,14627040.837,0,0.928400690337392,8.62408167351994e-05
"78",63,63,2354568687.339,2354568687.339,0.0844462161982592,0.994752498487154,0.0169075550522949
"174",14,14,42390869.19,42390869.19,0,0.993624033991667,0.000235192323488839
"125",45,45,46896438956.673,46896438956.673,0.0910238522357318,0.997193729303927,1
"29",3,3,212477859.256,212477859.256,0,0.952065354437002,0.00237078945637215
"163",3,3,255463.565,255463.565,0,0.996812833050322,2.03210724744042e-07
"140",1,1,1386.545,1386.545,0,0.994531389511697,5.65860910780971e-13
"44",4,4,108787877.223,108787877.223,0,0.993910159095274,0.00193763330733583
"27",7,7,1176749.454,1176749.454,0.0568068566872633,0.962352050616237,2.21858514494334e-09
