"step","removed_nodes","lcc_size","lcc_ratio","strategy"
0,0,175,1,"random"
1,9,166,0.948571428571429,"random"
2,18,157,0.897142857142857,"random"
3,27,146,0.834285714285714,"random"
4,36,133,0.76,"random"
5,45,124,0.708571428571429,"random"
6,54,111,0.634285714285714,"random"
7,63,103,0.588571428571429,"random"
8,72,97,0.554285714285714,"random"
9,81,69,0.394285714285714,"random"
10,90,63,0.36,"random"
11,99,52,0.297142857142857,"random"
12,108,43,0.245714285714286,"random"
13,117,37,0.211428571428571,"random"
14,126,26,0.148571428571429,"random"
15,135,19,0.108571428571429,"random"
16,144,14,0.08,"random"
17,153,4,0.0228571428571429,"random"
18,162,1,0.00571428571428571,"random"
19,171,1,0.00571428571428571,"random"
20,175,0,0,"random"
0,0,175,1,"degree"
1,9,134,0.765714285714286,"degree"
2,18,113,0.645714285714286,"degree"
3,27,88,0.502857142857143,"degree"
4,36,59,0.337142857142857,"degree"
5,45,21,0.12,"degree"
6,54,12,0.0685714285714286,"degree"
7,63,7,0.04,"degree"
8,72,7,0.04,"degree"
9,81,4,0.0228571428571429,"degree"
10,90,4,0.0228571428571429,"degree"
11,99,2,0.0114285714285714,"degree"
12,108,2,0.0114285714285714,"degree"
13,117,2,0.0114285714285714,"degree"
14,126,1,0.00571428571428571,"degree"
15,135,1,0.00571428571428571,"degree"
16,144,1,0.00571428571428571,"degree"
17,153,1,0.00571428571428571,"degree"
18,162,1,0.00571428571428571,"degree"
19,171,1,0.00571428571428571,"degree"
20,175,0,0,"degree"
0,0,175,1,"betweenness"
1,9,131,0.748571428571429,"betweenness"
2,18,107,0.611428571428571,"betweenness"
3,27,79,0.451428571428571,"betweenness"
4,36,63,0.36,"betweenness"
5,45,24,0.137142857142857,"betweenness"
6,54,16,0.0914285714285714,"betweenness"
7,63,6,0.0342857142857143,"betweenness"
8,72,5,0.0285714285714286,"betweenness"
9,81,2,0.0114285714285714,"betweenness"
10,90,2,0.0114285714285714,"betweenness"
11,99,2,0.0114285714285714,"betweenness"
12,108,2,0.0114285714285714,"betweenness"
13,117,1,0.00571428571428571,"betweenness"
14,126,1,0.00571428571428571,"betweenness"
15,135,1,0.00571428571428571,"betweenness"
16,144,1,0.00571428571428571,"betweenness"
17,153,1,0.00571428571428571,"betweenness"
18,162,1,0.00571428571428571,"betweenness"
19,171,1,0.00571428571428571,"betweenness"
20,175,0,0,"betweenness"
0,0,175,1,"closeness"
1,9,134,0.765714285714286,"closeness"
2,18,109,0.622857142857143,"closeness"
3,27,96,0.548571428571429,"closeness"
4,36,74,0.422857142857143,"closeness"
5,45,40,0.228571428571429,"closeness"
6,54,28,0.16,"closeness"
7,63,15,0.0857142857142857,"closeness"
8,72,15,0.0857142857142857,"closeness"
9,81,13,0.0742857142857143,"closeness"
10,90,12,0.0685714285714286,"closeness"
11,99,10,0.0571428571428571,"closeness"
12,108,10,0.0571428571428571,"closeness"
13,117,10,0.0571428571428571,"closeness"
14,126,5,0.0285714285714286,"closeness"
15,135,4,0.0228571428571429,"closeness"
16,144,4,0.0228571428571429,"closeness"
17,153,2,0.0114285714285714,"closeness"
18,162,2,0.0114285714285714,"closeness"
19,171,2,0.0114285714285714,"closeness"
20,175,0,0,"closeness"
0,0,175,1,"eigenvector"
1,9,143,0.817142857142857,"eigenvector"
2,18,115,0.657142857142857,"eigenvector"
3,27,99,0.565714285714286,"eigenvector"
4,36,84,0.48,"eigenvector"
5,45,54,0.308571428571429,"eigenvector"
6,54,40,0.228571428571429,"eigenvector"
7,63,15,0.0857142857142857,"eigenvector"
8,72,15,0.0857142857142857,"eigenvector"
9,81,13,0.0742857142857143,"eigenvector"
10,90,13,0.0742857142857143,"eigenvector"
11,99,12,0.0685714285714286,"eigenvector"
12,108,11,0.0628571428571429,"eigenvector"
13,117,6,0.0342857142857143,"eigenvector"
14,126,4,0.0228571428571429,"eigenvector"
15,135,4,0.0228571428571429,"eigenvector"
16,144,2,0.0114285714285714,"eigenvector"
17,153,2,0.0114285714285714,"eigenvector"
18,162,2,0.0114285714285714,"eigenvector"
19,171,2,0.0114285714285714,"eigenvector"
20,175,0,0,"eigenvector"
